date,covid_vaccine_administered
9/10/21,62.9
9/9/21,62.7
9/8/21,62.7
9/7/21,62.5
9/6/21,62.5
9/5/21,62.4
9/4/21,62.3
9/3/21,62.2
9/2/21,62
9/1/21,61.9
8/31/21,61.8
8/30/21,61.7
8/29/21,61.6
8/28/21,61.4
8/27/21,61.3
8/26/21,61.1
8/25/21,61
8/24/21,60.9
8/23/21,60.8
8/22/21,60.7
8/21/21,60.5
8/20/21,60.4
8/19/21,60.2
8/18/21,60
8/17/21,59.9
8/16/21,59.8
8/15/21,59.7
8/14/21,59.5
8/13/21,59.4
8/12/21,59.2
8/11/21,59.1
8/10/21,58.9
8/9/21,58.8
8/8/21,58.7
8/7/21,58.5
8/6/21,58.4
8/5/21,58.2
8/4/21,58
8/3/21,57.9
8/2/21,57.8
8/1/21,57.7
7/31/21,57.5
7/30/21,57.4
7/29/21,57.2
7/28/21,57.1
7/27/21,56.9
7/26/21,56.8
7/25/21,56.8
7/24/21,56.6
7/23/21,56.5
7/22/21,56.4
7/21/21,56.3
7/20/21,56.2
7/19/21,56.1
7/18/21,56
7/17/21,56
7/16/21,55.9
7/15/21,55.8
7/14/21,55.7
7/13/21,55.6
7/12/21,55.5
7/11/21,55.5
7/10/21,55.4
7/9/21,55.3
7/8/21,55.2
7/7/21,55.1
7/6/21,55
7/5/21,55
7/4/21,54.9
7/3/21,54.9
7/2/21,54.7
7/1/21,54.6
6/30/21,54.4
6/29/21,54.2
6/28/21,54.1
6/27/21,54
6/26/21,53.9
6/25/21,53.8
6/24/21,53.7
6/23/21,53.6
6/22/21,53.5
6/21/21,53.4
6/20/21,53.3
6/19/21,53.2
6/18/21,53.1
6/17/21,53
6/16/21,52.7
6/15/21,52.6
6/14/21,52.5
6/13/21,52.4
6/12/21,52.2
6/11/21,52
6/10/21,51.9
6/9/21,51.8
6/8/21,51.7
6/7/21,51.6
6/6/21,51.5
6/5/21,51.3
6/4/21,51.1
6/3/21,50.9
6/2/21,50.8
6/1/21,50.8
5/31/21,50.7
5/30/21,50.5
5/29/21,50.3
5/28/21,50.1
5/27/21,49.9
5/26/21,49.7
5/25/21,49.5
5/24/21,49.4
5/23/21,49.2
5/22/21,48.9
5/21/21,48.6
5/20/21,48.2
5/19/21,47.9
5/18/21,47.7
5/17/21,47.5
5/16/21,47.3
5/15/21,47.1
5/14/21,46.8
5/13/21,46.6
5/12/21,46.4
5/11/21,46.2
5/10/21,46
5/9/21,45.8
5/8/21,45.6
5/7/21,45.3
5/6/21,45
5/5/21,44.7
5/4/21,44.5
5/3/21,44.4
5/2/21,44.3
5/1/21,44
4/30/21,43.6
4/29/21,43.3
4/28/21,43
4/27/21,42.7
4/26/21,42.5
4/25/21,42.2
4/24/21,41.8
4/23/21,41.3
4/22/21,40.9
4/21/21,40.5
4/20/21,40.1
4/19/21,39.9
4/18/21,39.5
4/17/21,39
4/16/21,38.5
4/15/21,37.9
4/14/21,37.3
4/13/21,36.8
4/12/21,36.4
4/11/21,35.9
4/10/21,35.3
4/9/21,34.5
4/8/21,33.7
4/7/21,33.1
4/6/21,32.6
4/5/21,32.4
4/4/21,32
4/3/21,31.4
4/2/21,30.7
4/1/21,30
3/31/21,29.4
3/30/21,28.9
3/29/21,28.6
3/28/21,28.2
3/27/21,27.6
3/26/21,27
3/25/21,26.3
3/24/21,25.7
3/23/21,25.3
3/22/21,24.9
3/21/21,24.5
3/20/21,23.9
3/19/21,23.3
3/18/21,22.7
3/17/21,22.2
3/16/21,21.7
3/15/21,21.4
3/14/21,21
3/13/21,20.5
3/12/21,19.9
3/11/21,19.3
3/10/21,18.8
3/9/21,18.4
3/8/21,18.1
3/7/21,17.7
3/6/21,17.3
3/5/21,16.7
3/4/21,16.3
3/3/21,15.9
3/2/21,15.6
3/1/21,15.3
2/28/21,15
2/27/21,14.6
2/26/21,14.2
2/25/21,13.9
2/24/21,13.6
2/23/21,13.4
2/22/21,13.3
2/21/21,13.1
2/20/21,12.9
2/19/21,12.6
2/18/21,10.8
2/17/21,10.6
2/16/21,10.4
2/15/21,10.2
2/14/21,10
2/13/21,9.7
2/12/21,9.4
2/11/21,9.1
2/10/21,10.2
2/9/21,9.9
2/8/21,9.7
2/7/21,9.5
2/6/21,9.1
2/5/21,8.7
2/4/21,8.4
2/3/21,8.2
2/2/21,8
2/1/21,7.84
1/31/21,0
1/30/21,0
1/29/21,0
1/28/21,0
1/27/21,0
1/26/21,0
1/25/21,0
1/24/21,0
1/23/21,0
1/22/21,0
1/21/21,0
1/20/21,0
1/19/21,4.18
1/18/21,4.03
1/17/21,3.88
1/16/21,3.65
1/15/21,3.35
1/14/21,3.12
1/13/21,2.87
1/12/21,2.66
1/11/21,2.54
1/10/21,2.47
1/9/21,2.31
1/8/21,2.12
1/7/21,1.91
1/6/21,1.72
1/5/21,1.56
1/4/21,1.46
1/3/21,1.39
1/2/21,1.33
1/1/21,1.25
12/31/20,1.12
12/30/20,0.95
12/29/20,0.82
12/28/20,0.72
12/27/20,0.67
12/26/20,0.66
12/25/20,0.61
12/24/20,0.51
12/23/20,0.41
12/22/20,0.3
12/21/20,0.24
12/20/20,0.2
12/19/20,0.13
12/18/20,0.08
12/17/20,0.04
12/16/20,0.02
12/15/20,0
12/14/20,0
12/13/20,0
